name,id
Fortnight (feat. Post Malone),0
The Tortured Poets Department,1
My Boy Only Breaks His Favorite Toys,2
Down Bad,3
"So Long, London",4
But Daddy I Love Him,5
Fresh Out The Slammer,6
Florida!!! (feat. Florence + The Machine),7
Guilty as Sin?,8
Who’s Afraid of Little Old Me?,9
I Can Fix Him (No Really I Can),10
loml,11
I Can Do It With a Broken Heart,12
The Smallest Man Who Ever Lived,13
The Alchemy,14
Clara Bow,15
The Black Dog,16
imgonnagetyouback,17
The Albatross,18
Chloe or Sam or Sophia or Marcus,19
How Did It End?,20
So High School,21
I Hate It Here,22
thanK you aIMee,23
I Look in People's Windows,24
The Prophecy,25
Cassandra,26
Peter,27
The Bolter,28
Robin,29
The Manuscript,30
Welcome To New York (Taylor's Version),31
Blank Space (Taylor's Version),32
Style (Taylor's Version),33
Out Of The Woods (Taylor's Version),34
All You Had To Do Was Stay (Taylor's Version),35
Shake It Off (Taylor's Version),36
I Wish You Would (Taylor's Version),37
Bad Blood (Taylor's Version),38
Wildest Dreams (Taylor's Version),39
How You Get The Girl (Taylor's Version),40
This Love (Taylor’s Version),41
I Know Places (Taylor's Version),42
Clean (Taylor's Version),43
Wonderland (Taylor's Version),44
You Are In Love (Taylor's Version),45
New Romantics (Taylor's Version),46
"""Slut!"" (Taylor's Version) (From The Vault)",47
Say Don't Go (Taylor's Version) (From The Vault),48
Now That We Don't Talk (Taylor's Version) (From The Vault),49
Suburban Legends (Taylor's Version) (From The Vault),50
Is It Over Now? (Taylor's Version) (From The Vault),51
Mine (Taylor's Version),52
Sparks Fly (Taylor’s Version),53
Back To December (Taylor's Version),54
Speak Now (Taylor's Version),55
Dear John (Taylor's Version),56
Mean (Taylor's Version),57
The Story Of Us (Taylor's Version),58
Never Grow Up (Taylor's Version),59
Enchanted (Taylor's Version),60
Better Than Revenge (Taylor's Version),61
Innocent (Taylor's Version),62
Haunted (Taylor's Version),63
Last Kiss (Taylor's Version),64
Long Live (Taylor's Version),65
Ours (Taylor’s Version),66
Superman (Taylor’s Version),67
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),68
When Emma Falls in Love (Taylor’s Version) (From The Vault),69
I Can See You (Taylor’s Version) (From The Vault),70
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),71
Foolish One (Taylor’s Version) (From The Vault),72
Timeless (Taylor’s Version) (From The Vault),73
Lavender Haze,74
Maroon,75
Anti-Hero,76
Snow On The Beach (feat. Lana Del Rey),77
"You're On Your Own, Kid",78
Midnight Rain,79
Question...?,80
Vigilante Shit,81
Bejeweled,82
Labyrinth,83
Karma,84
Sweet Nothing,85
Mastermind,86
The Great War,87
Bigger Than The Whole Sky,88
Paris,89
High Infidelity,90
Glitch,91
"Would've, Could've, Should've",92
Dear Reader,93
Hits Different,94
State Of Grace (Taylor's Version),95
Red (Taylor's Version),96
Treacherous (Taylor's Version),97
I Knew You Were Trouble (Taylor's Version),98
All Too Well (Taylor's Version),99
22 (Taylor's Version),100
I Almost Do (Taylor's Version),101
We Are Never Ever Getting Back Together (Taylor's Version),102
Stay Stay Stay (Taylor's Version),103
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),104
Holy Ground (Taylor's Version),105
Sad Beautiful Tragic (Taylor's Version),106
The Lucky One (Taylor's Version),107
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),108
Starlight (Taylor's Version),109
Begin Again (Taylor's Version),110
The Moment I Knew (Taylor's Version),111
Come Back...Be Here (Taylor's Version),112
Girl At Home (Taylor's Version),113
State Of Grace (Acoustic Version) (Taylor's Version),114
Ronan (Taylor's Version),115
Better Man (Taylor's Version) (From The Vault),116
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),117
Babe (Taylor's Version) (From The Vault),118
Message In A Bottle (Taylor's Version) (From The Vault),119
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),120
Forever Winter (Taylor's Version) (From The Vault),121
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),122
The Very First Night (Taylor's Version) (From The Vault),123
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),124
Fearless (Taylor’s Version),125
Fifteen (Taylor’s Version),126
Love Story (Taylor’s Version),127
Hey Stephen (Taylor’s Version),128
White Horse (Taylor’s Version),129
You Belong With Me (Taylor’s Version),130
Breathe (feat. Colbie Caillat) (Taylor’s Version),131
Tell Me Why (Taylor’s Version),132
You’re Not Sorry (Taylor’s Version),133
The Way I Loved You (Taylor’s Version),134
Forever & Always (Taylor’s Version),135
The Best Day (Taylor’s Version),136
Change (Taylor’s Version),137
Jump Then Fall (Taylor’s Version),138
Untouchable (Taylor’s Version),139
Forever & Always (Piano Version) (Taylor’s Version),140
Come In With The Rain (Taylor’s Version),141
Superstar (Taylor’s Version),142
The Other Side Of The Door (Taylor’s Version),143
Today Was A Fairytale (Taylor’s Version),144
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),145
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),146
We Were Happy (Taylor’s Version) (From The Vault),147
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),148
Don’t You (Taylor’s Version) (From The Vault),149
Bye Bye Baby (Taylor’s Version) (From The Vault),150
willow,151
champagne problems,152
gold rush,153
‘tis the damn season,154
tolerate it,155
"no body, no crime (feat. HAIM)",156
happiness,157
dorothea,158
coney island (feat. The National),159
ivy,160
cowboy like me,161
long story short,162
marjorie,163
closure,164
evermore (feat. Bon Iver),165
right where you left me - bonus track,166
it’s time to go - bonus track,167
the 1,168
cardigan,169
the last great american dynasty,170
exile (feat. Bon Iver),171
my tears ricochet,172
mirrorball,173
seven,174
august,175
this is me trying,176
illicit affairs,177
invisible string,178
mad woman,179
epiphany,180
betty,181
peace,182
hoax,183
the lakes - bonus track,184
I Forgot That You Existed,185
Cruel Summer,186
Lover,187
The Man,188
The Archer,189
I Think He Knows,190
Miss Americana & The Heartbreak Prince,191
Paper Rings,192
Cornelia Street,193
Death By A Thousand Cuts,194
London Boy,195
Soon You’ll Get Better (feat. The Chicks),196
False God,197
You Need To Calm Down,198
Afterglow,199
ME! (feat. Brendon Urie of Panic! At The Disco),200
It’s Nice To Have A Friend,201
Daylight,202
...Ready For It?,203
End Game,204
I Did Something Bad,205
Don’t Blame Me,206
Delicate,207
Look What You Made Me Do,208
So It Goes...,209
Gorgeous,210
Getaway Car,211
King Of My Heart,212
Dancing With Our Hands Tied,213
Dress,214
This Is Why We Can't Have Nice Things,215
Call It What You Want,216
New Year’s Day,217
Tim McGraw,218
Picture To Burn,219
A Place in this World,220
Cold As You,221
The Outside,222
Tied Together with a Smile,223
Stay Beautiful,224
Should've Said No,225
Mary's Song (Oh My My My),226
Our Song,227
I'm Only Me When I'm With You,228
Invisible,229
A Perfectly Good Heart,230
Teardrops on My Guitar - Pop Version,231
